iter	Passed	Remaining
477	717	783
478	718	781
479	720	780
480	721	778
481	722	776
482	724	775
483	725	773
484	727	772
485	729	771
486	730	769
487	733	769
488	734	767
489	736	766
490	737	764
491	738	762
492	740	761
493	741	759
494	743	758
495	744	756
496	746	755
497	747	753
498	749	752
499	750	750
500	752	749
501	753	747
502	754	745
503	755	743
504	757	742
505	758	740
506	759	738
507	760	736
508	762	735
509	764	734
510	765	732
511	767	731
512	769	730
513	770	728
514	772	727
515	774	726
516	775	724
517	777	723
518	778	721
519	782	722
520	784	720
521	785	718
522	785	716
523	786	714
524	787	712
525	788	710
526	789	708
527	790	706
528	792	706
529	794	704
530	795	703
531	797	701
532	799	700
533	801	699
534	802	697
535	804	696
536	805	694
537	806	692
538	807	690
539	808	688
540	811	688
541	812	686
542	813	684
543	816	684
544	817	682
545	819	681
546	822	681
547	824	679
548	827	680
549	829	678
550	849	692
551	850	690
552	854	690
553	855	689
554	856	687
555	858	685
556	861	685
557	862	683
558	864	681
559	865	679
560	866	678
561	868	676
562	868	674
563	870	673
564	872	671
565	874	670
566	877	669
567	878	668
568	880	666
569	882	665
570	883	663
571	884	662
572	885	660
573	886	657
574	889	657
575	890	655
576	891	653
577	892	651
578	894	650
579	896	648
580	897	647
581	898	645
582	900	644
583	902	642
584	903	641
585	907	640
586	908	639
587	910	637
588	911	635
589	912	634
590	914	632
591	915	630
592	916	628
593	917	627
594	920	626
595	922	625
596	925	624
597	926	623
598	928	621
599	931	620
600	933	619
601	934	617
602	935	615
603	936	614
604	939	613
605	940	611
606	941	609
607	943	608
608	945	606
609	946	605
610	948	603
611	952	603
612	953	601
613	955	600
614	957	599
615	959	597
616	961	597
617	963	595
618	965	594
619	969	594
620	970	592
621	971	590
622	972	588
623	973	586
624	975	585
625	976	583
626	976	581
627	977	579
628	978	577
629	980	575
630	981	573
631	981	571
632	982	569
633	983	567
634	984	565
635	986	564
636	987	562
637	988	560
638	989	558
639	990	556
640	991	555
641	993	554
642	994	552
643	995	550
644	996	548
645	997	546
646	999	545
647	1001	543
648	1002	542
649	1005	541
650	1006	539
651	1006	537
652	1007	535
653	1008	533
654	1009	531
655	1011	530
656	1012	528
657	1012	526
658	1014	524
659	1015	523
660	1016	521
661	1017	519
662	1018	517
663	1019	515
664	1019	513
665	1020	511
666	1021	510
667	1022	508
668	1023	506
669	1024	504
670	1025	502
671	1025	500
672	1026	498
673	1029	497
674	1030	496
675	1031	494
676	1031	492
677	1032	490
678	1033	488
679	1034	486
680	1035	485
681	1036	483
682	1037	481
683	1038	479
684	1039	477
685	1039	476
686	1041	474
687	1041	472
688	1042	470
689	1043	468
690	1044	466
691	1044	465
692	1047	463
693	1048	462
694	1049	460
695	1050	458
696	1051	456
697	1052	455
698	1054	454
699	1055	452
700	1056	450
701	1057	448
702	1059	447
703	1060	445
704	1061	444
705	1062	442
706	1063	440
707	1064	438
708	1065	437
709	1067	435
710	1067	434
711	1068	432
712	1069	430
713	1070	428
714	1071	427
715	1073	425
716	1074	423
717	1074	422
718	1075	420
719	1076	418
720	1076	416
721	1079	415
722	1080	413
723	1080	412
724	1082	410
725	1083	408
726	1084	407
727	1086	405
728	1087	404
729	1088	402
730	1089	400
731	1092	400
732	1093	398
733	1095	396
734	1097	395
735	1100	394
736	1101	393
737	1102	391
738	1104	390
739	1105	388
740	1106	386
741	1107	385
742	1108	383
743	1111	382
744	1112	380
745	1113	379
746	1114	377
747	1116	376
748	1117	374
749	1118	372
750	1119	371
751	1119	369
752	1120	367
753	1122	366
754	1124	364
755	1125	363
756	1125	361
757	1126	359
758	1128	358
759	1130	357
760	1131	355
761	1132	353
762	1135	352
763	1136	351
764	1137	349
765	1138	347
766	1139	346
767	1141	344
768	1143	343
769	1144	341
770	1144	340
771	1145	338
772	1147	336
773	1147	335
774	1148	333
775	1149	331
776	1150	330
777	1151	328
778	1152	326
779	1153	325
780	1154	323
781	1155	322
782	1156	320
783	1157	318
784	1158	317
785	1160	315
786	1161	314
787	1162	312
788	1163	311
789	1164	309
790	1166	308
791	1167	306
792	1168	304
793	1169	303
794	1170	301
795	1171	300
796	1172	298
797	1173	297
798	1174	295
799	1175	293
800	1176	292
801	1176	290
802	1178	289
803	1179	287
804	1180	285
805	1181	284
806	1182	282
807	1183	281
808	1184	279
809	1185	278
810	1186	276
811	1187	274
812	1188	273
813	1189	271
814	1190	270
815	1192	268
816	1193	267
817	1194	265
818	1194	264
819	1195	262
820	1197	261
821	1198	259
822	1198	257
823	1199	256
824	1200	254
825	1201	253
826	1202	251
827	1203	249
828	1204	248
829	1205	246
830	1206	245
831	1207	243
832	1208	242
833	1210	240
834	1211	239
835	1213	238
836	1214	236
837	1218	235
838	1219	234
839	1220	232
840	1221	230
841	1222	229
842	1224	227
843	1224	226
844	1225	224
845	1226	223
846	1229	222
847	1230	220
848	1231	219
849	1232	217
850	1233	215
851	1235	214
852	1236	213
853	1237	211
854	1238	210
855	1239	208
856	1241	207
857	1242	205
858	1243	204
859	1244	202
860	1245	201
861	1246	199
862	1247	198
863	1248	196
864	1249	194
865	1250	193
866	1251	191
867	1252	190
868	1253	188
869	1254	187
870	1255	185
871	1256	184
872	1256	182
873	1257	181
874	1258	179
875	1259	178
876	1260	176
877	1261	175
878	1262	173
879	1262	172
880	1263	170
881	1265	169
882	1266	167
883	1267	166
884	1267	164
885	1268	163
886	1269	161
887	1270	160
888	1272	158
889	1273	157
890	1274	155
891	1275	154
892	1276	152
893	1277	151
894	1278	150
895	1280	148
896	1281	147
897	1282	145
898	1284	144
899	1285	142
900	1286	141
901	1286	139
902	1287	138
903	1288	136
904	1291	135
905	1292	134
906	1293	132
907	1294	131
908	1295	129
909	1298	128
910	1299	126
911	1300	125
912	1301	124
913	1302	122
914	1304	121
915	1305	119
916	1306	118
917	1308	116
918	1309	115
919	1324	115
920	1325	113
921	1325	112
922	1326	110
923	1327	109
924	1328	107
925	1329	106
926	1330	104
927	1331	103
928	1332	101
929	1332	100
930	1333	98
931	1335	97
932	1336	95
933	1337	94
934	1338	93
935	1338	91
936	1339	90
937	1341	88
938	1342	87
939	1342	85
940	1343	84
941	1344	82
942	1345	81
943	1347	79
944	1348	78
945	1349	77
946	1350	75
947	1351	74
948	1352	72
949	1354	71
950	1355	69
951	1356	68
952	1357	66
953	1357	65
954	1358	64
955	1360	62
956	1362	61
957	1362	59
958	1363	58
959	1366	56
960	1368	55
961	1369	54
962	1370	52
963	1371	51
964	1372	49
965	1373	48
966	1374	46
967	1374	45
968	1375	44
969	1376	42
970	1377	41
971	1378	39
972	1380	38
973	1381	36
974	1381	35
975	1382	34
976	1383	32
977	1385	31
978	1386	29
979	1386	28
980	1387	26
981	1388	25
982	1389	24
983	1390	22
984	1392	21
985	1392	19
986	1394	18
987	1395	16
988	1398	15
989	1399	14
990	1399	12
991	1400	11
992	1401	9
993	1402	8
994	1404	7
995	1405	5
996	1406	4
997	1407	2
998	1408	1
999	1410	0
